epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2673.63,0.6796,0.6559,1.12886,0.77641,0.75405,0.79325,0.68797,0.57377,0.81244,1.04083,0.000529212,0.000529212,0.000529212
43,2738.34,0.66689,0.63569,1.12437,0.73501,0.773,0.79679,0.68824,0.64345,0.85839,1.06887,0.000521024,0.000521024,0.000521024
44,2803.08,0.66441,0.6371,1.11951,0.72146,0.7758,0.78041,0.6884,0.59605,0.98418,1.06394,0.000512726,0.000512726,0.000512726
45,2867.38,0.65983,0.64307,1.12056,0.83243,0.71428,0.77118,0.68676,0.61048,0.83588,1.04602,0.000504323,0.000504323,0.000504323
46,2930.81,0.65893,0.62595,1.11245,0.77776,0.67636,0.76342,0.66084,0.56332,0.83956,1.06738,0.000495822,0.000495822,0.000495822
47,2995.04,0.6414,0.60818,1.10089,0.71733,0.72244,0.76777,0.67816,0.67059,0.91468,1.04668,0.000487228,0.000487228,0.000487228
48,3059.14,0.63794,0.59339,1.10629,0.79115,0.68759,0.75216,0.66434,0.60169,0.9076,1.02297,0.000478547,0.000478547,0.000478547
49,3123.31,0.64174,0.6065,1.09832,0.81105,0.67485,0.78614,0.68169,0.55787,0.8525,1.04766,0.000469786,0.000469786,0.000469786
50,3187.23,0.63594,0.59754,1.09918,0.7947,0.68759,0.76841,0.67636,0.58889,0.8549,1.0514,0.00046095,0.00046095,0.00046095
51,3249.15,0.62325,0.57471,1.09363,0.76042,0.74947,0.76925,0.68035,0.60339,0.82662,1.02706,0.000452044,0.000452044,0.000452044
52,3312.41,0.62988,0.56727,1.09701,0.75926,0.76063,0.77591,0.68579,0.55395,0.82322,1.03939,0.000443077,0.000443077,0.000443077
53,3376.9,0.63088,0.57155,1.09749,0.79288,0.72566,0.78726,0.68807,0.57337,0.77928,1.03235,0.000434052,0.000434052,0.000434052
54,3442.33,0.61276,0.56225,1.08556,0.75315,0.69253,0.75936,0.6818,0.68752,0.87156,1.02096,0.000424978,0.000424978,0.000424978
55,3506.15,0.61926,0.54724,1.09204,0.72795,0.67449,0.72882,0.64319,0.59776,0.91701,1.03482,0.000415859,0.000415859,0.000415859
56,3569.83,0.6073,0.55313,1.08514,0.74957,0.71541,0.77086,0.67312,0.58293,0.86544,1.0404,0.000406702,0.000406702,0.000406702
57,3633.76,0.59891,0.53654,1.071,0.78635,0.6933,0.77226,0.67273,0.55326,0.87703,1.05986,0.000397513,0.000397513,0.000397513
58,3698.15,0.61039,0.54723,1.08836,0.78819,0.72494,0.76837,0.6755,0.53548,0.83937,1.03254,0.0003883,0.0003883,0.0003883
59,3762.09,0.59993,0.53446,1.0832,0.72478,0.73791,0.7782,0.69696,0.50525,0.85243,1.02529,0.000379067,0.000379067,0.000379067
60,3825.48,0.59159,0.536,1.07707,0.76131,0.73417,0.77364,0.6788,0.62741,0.8518,1.0562,0.000369822,0.000369822,0.000369822
61,3888.86,0.59069,0.52189,1.07396,0.77592,0.73253,0.78262,0.69038,0.54727,0.79638,1.03918,0.00036057,0.00036057,0.00036057
62,3952.61,0.58589,0.52062,1.0768,0.80767,0.727,0.796,0.70056,0.5393,0.77204,1.04366,0.000351318,0.000351318,0.000351318
63,4017.3,0.57619,0.50655,1.06712,0.79194,0.6764,0.76597,0.68343,0.53467,0.85937,1.02331,0.000342073,0.000342073,0.000342073
64,4082.36,0.57418,0.50352,1.06152,0.71653,0.69856,0.75995,0.66223,0.68603,0.9163,1.0473,0.00033284,0.00033284,0.00033284
65,4147.71,0.57484,0.50003,1.06419,0.79865,0.73929,0.77722,0.68455,0.54727,0.9031,1.03162,0.000323627,0.000323627,0.000323627
66,4212.68,0.55808,0.4893,1.05499,0.79773,0.67853,0.76904,0.66935,0.91207,1.08324,1.20091,0.000314438,0.000314438,0.000314438
67,4276.44,0.56319,0.47722,1.05604,0.74646,0.7555,0.77414,0.68782,0.69441,0.87257,1.07487,0.000305281,0.000305281,0.000305281
68,4340.77,0.55353,0.47668,1.05475,0.80723,0.69727,0.77592,0.69231,0.6563,0.86682,1.04447,0.000296162,0.000296162,0.000296162
69,4405.19,0.55425,0.4825,1.05245,0.71952,0.76505,0.76066,0.67071,0.69148,0.89278,1.02545,0.000287088,0.000287088,0.000287088
70,4468.71,0.54779,0.47398,1.04716,0.78191,0.71119,0.75695,0.66635,0.6173,0.89713,1.06655,0.000278063,0.000278063,0.000278063
71,4532.42,0.5439,0.47554,1.04761,0.79562,0.70486,0.7594,0.67659,0.62209,0.85178,1.05869,0.000269096,0.000269096,0.000269096
72,4595.1,0.54499,0.46737,1.04381,0.74134,0.7079,0.75809,0.67922,0.52553,0.89969,1.00989,0.00026019,0.00026019,0.00026019
73,4658.71,0.53851,0.45714,1.04501,0.78447,0.71141,0.78224,0.70281,0.51607,0.8526,1.01196,0.000251354,0.000251354,0.000251354
74,4720.8,0.53534,0.45339,1.04416,0.73562,0.74884,0.77473,0.6829,0.58095,0.83808,1.07426,0.000242593,0.000242593,0.000242593
75,4782.83,0.52132,0.45514,1.03707,0.79328,0.71828,0.76064,0.6733,0.51536,0.88048,1.02828,0.000233912,0.000233912,0.000233912
76,4845.97,0.52347,0.44379,1.03371,0.80478,0.68674,0.75445,0.68823,0.48928,0.86411,1.0043,0.000225318,0.000225318,0.000225318
77,4909.99,0.52193,0.44059,1.03067,0.77297,0.74287,0.78585,0.71053,0.51178,0.7978,1.00626,0.000216817,0.000216817,0.000216817
78,4974.82,0.5119,0.43316,1.03135,0.79582,0.74734,0.78802,0.70538,0.50285,0.83429,1.0084,0.000208414,0.000208414,0.000208414
79,5038.65,0.51737,0.42963,1.02706,0.80034,0.75311,0.7902,0.71055,0.57358,0.82528,1.03338,0.000200116,0.000200116,0.000200116
80,5102.75,0.51201,0.42397,1.02589,0.79119,0.673,0.74907,0.6741,0.50928,0.89008,1.02044,0.000191928,0.000191928,0.000191928
81,5165.27,0.50923,0.42105,1.02329,0.81034,0.69895,0.76767,0.69463,0.56122,0.82197,1.03549,0.000183855,0.000183855,0.000183855
82,5228.88,0.50403,0.42529,1.0204,0.75862,0.73107,0.76332,0.68641,0.53231,0.88378,1.03119,0.000175903,0.000175903,0.000175903
83,5292.33,0.50048,0.40955,1.02567,0.76686,0.70151,0.75657,0.68794,0.52326,0.91261,1.03498,0.000168078,0.000168078,0.000168078
84,5356.52,0.49142,0.40481,1.01714,0.75641,0.71928,0.76024,0.68887,0.58266,0.87271,1.04427,0.000160385,0.000160385,0.000160385
85,5420.48,0.5061,0.41824,1.02785,0.80735,0.69303,0.76009,0.68526,0.57322,0.87616,1.03207,0.000152829,0.000152829,0.000152829
86,5484.04,0.48397,0.39772,1.01083,0.78681,0.68714,0.75686,0.68185,0.6127,0.90252,1.02397,0.000145415,0.000145415,0.000145415
87,5547.9,0.49816,0.41006,1.02075,0.7532,0.72687,0.77262,0.70183,0.54588,0.84458,1.01931,0.000138149,0.000138149,0.000138149
88,5611.87,0.48834,0.39734,1.01174,0.75455,0.72544,0.77199,0.69211,0.62591,0.86656,1.04618,0.000131036,0.000131036,0.000131036
89,5675.73,0.47903,0.38364,1.00727,0.7556,0.71045,0.74268,0.66085,0.55422,0.9287,1.05905,0.000124079,0.000124079,0.000124079
90,5739.71,0.48227,0.39871,1.00863,0.69652,0.74645,0.75214,0.67346,0.53613,0.92172,1.03838,0.000117285,0.000117285,0.000117285
91,5802.82,0.47909,0.38607,1.01024,0.73403,0.71424,0.74941,0.66406,0.54002,0.91135,1.05336,0.000110657,0.000110657,0.000110657
92,5866.22,0.4691,0.38025,1.00492,0.71259,0.7426,0.75674,0.66793,0.54101,0.89684,1.04899,0.000104201,0.000104201,0.000104201
93,5928.27,0.4789,0.39192,1.00965,0.78,0.72493,0.77337,0.69059,0.58923,0.83734,1.04286,9.79203e-05,9.79203e-05,9.79203e-05
94,5991.13,0.46922,0.38004,1.00722,0.80184,0.69219,0.74916,0.67529,0.53542,0.88338,1.02924,9.18197e-05,9.18197e-05,9.18197e-05
95,6054.31,0.45644,0.3709,0.99434,0.80791,0.68778,0.7509,0.67693,0.51936,0.8801,1.01895,8.59033e-05,8.59033e-05,8.59033e-05
96,6118.1,0.46039,0.3674,1.0049,0.77298,0.72738,0.75606,0.6868,0.49035,0.89358,1.00642,8.01751e-05,8.01751e-05,8.01751e-05
97,6182.21,0.45813,0.37046,0.99758,0.76194,0.75673,0.76974,0.701,0.53197,0.85608,1.01539,7.46391e-05,7.46391e-05,7.46391e-05
98,6245.8,0.46148,0.37904,0.99977,0.81605,0.72874,0.76943,0.6952,0.50834,0.85393,1.0167,6.92991e-05,6.92991e-05,6.92991e-05
99,6308.3,0.45715,0.37333,0.99854,0.79529,0.71273,0.76232,0.69023,0.50971,0.89404,1.01508,6.41587e-05,6.41587e-05,6.41587e-05
100,6370.03,0.45027,0.36826,0.99196,0.79259,0.7356,0.77953,0.7045,0.50645,0.83367,0.99634,5.92214e-05,5.92214e-05,5.92214e-05
101,6433.09,0.4595,0.37172,0.99868,0.77471,0.73805,0.76965,0.68981,0.52191,0.87818,1.01965,5.44906e-05,5.44906e-05,5.44906e-05
102,6495.29,0.45644,0.36308,0.99653,0.75167,0.74913,0.76881,0.68818,0.55984,0.87274,1.03864,4.99697e-05,4.99697e-05,4.99697e-05
103,6557.61,0.44628,0.3529,0.99176,0.7455,0.75442,0.76369,0.68907,0.51107,0.87034,1.0172,4.56616e-05,4.56616e-05,4.56616e-05
104,6620.82,0.44536,0.35829,0.98764,0.78375,0.71769,0.75834,0.6883,0.50021,0.8882,1.0227,4.15693e-05,4.15693e-05,4.15693e-05
105,6685.31,0.44238,0.35193,0.98855,0.80894,0.70947,0.76385,0.69146,0.47379,0.88688,1.00569,3.76956e-05,3.76956e-05,3.76956e-05
106,6751.26,0.32456,0.20839,0.89966,0.78687,0.71281,0.75034,0.67765,0.48133,0.92573,1.01149,3.40433e-05,3.40433e-05,3.40433e-05
107,6814.11,0.32318,0.20303,0.90192,0.84308,0.67148,0.74632,0.67346,0.49448,0.92556,1.00977,3.06147e-05,3.06147e-05,3.06147e-05
108,6876.39,0.31209,0.19561,0.89417,0.79521,0.70275,0.74574,0.66478,0.50002,0.93404,1.02846,2.74122e-05,2.74122e-05,2.74122e-05
109,6938.99,0.32017,0.20064,0.90513,0.81162,0.70805,0.74932,0.66752,0.47291,0.92081,1.01794,2.44381e-05,2.44381e-05,2.44381e-05
