epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3813,1.46659,4.82007,1.87018,0.00195,0.5463,0.01105,0.00413,1.94778,3.34097,2.47985,7.854e-05,7.854e-05,7.854e-05
2,44.0544,1.17795,4.64239,1.73923,0.01199,0.75,0.05083,0.01721,1.71665,3.33956,2.23884,0.000162865,0.000162865,0.000162865
3,51.4688,0.906,4.31287,1.56359,0.011,0.81574,0.06415,0.02104,1.84686,3.32181,2.1635,0.000245777,0.000245777,0.000245777
4,60.0657,0.87644,4.08135,1.45175,0.01005,0.91204,0.16798,0.06644,1.78397,3.30566,2.1557,0.000327274,0.000327274,0.000327274
5,68.4045,0.86506,3.95471,1.511,0.00678,0.91204,0.11722,0.0406,1.69337,3.25531,2.15715,0.000407358,0.000407358,0.000407358
6,76.2889,0.8508,3.83767,1.47722,0.0044,0.72315,0.0954,0.04287,2.09345,3.20632,2.54423,0.000486029,0.000486029,0.000486029
7,84.5161,0.83043,3.61025,1.47612,0.00454,0.76944,0.10188,0.0292,2.44509,3.2036,2.79464,0.000563285,0.000563285,0.000563285
8,91.9197,0.92049,3.74312,1.43799,0.00333,0.84259,0.08778,0.02891,2.22235,3.23461,2.50247,0.000639128,0.000639128,0.000639128
9,100.302,0.91003,3.56081,1.43497,0.00625,0.93148,0.13215,0.0592,1.90873,3.33067,2.52485,0.000666876,0.000666876,0.000666876
10,108.046,0.86566,3.69287,1.39192,0.39877,0.28704,0.2135,0.10257,1.77679,3.11208,2.42463,0.000660986,0.000660986,0.000660986
11,116.148,0.70152,3.15749,1.32487,0.26216,0.23426,0.24251,0.11555,1.78185,3.1444,2.34732,0.000655095,0.000655095,0.000655095
12,123.462,0.85498,3.1686,1.45178,0.21709,0.33889,0.17102,0.07623,1.82249,3.02945,2.31883,0.000649204,0.000649204,0.000649204
13,130.856,0.75374,3.16335,1.40231,0.13814,0.35556,0.2487,0.10052,1.84619,3.26899,2.19759,0.000643314,0.000643314,0.000643314
14,138.877,0.67156,2.84388,1.30227,0.1537,0.21204,0.21077,0.10682,1.72889,2.97453,2.26887,0.000637423,0.000637423,0.000637423
15,146.464,0.73305,2.90358,1.42271,0.36307,0.27407,0.18212,0.07997,1.72872,2.958,2.64238,0.000631533,0.000631533,0.000631533
16,154.733,0.71044,2.76803,1.38138,0.268,0.28981,0.15502,0.04309,2.18241,3.25786,2.73385,0.000625642,0.000625642,0.000625642
17,163.223,0.75902,2.77921,1.4181,0.16798,0.33981,0.24138,0.12389,1.57811,2.80094,1.83779,0.000619752,0.000619752,0.000619752
18,170.963,0.68436,2.84901,1.32621,0.2507,0.31473,0.31989,0.14316,1.72388,2.51392,2.06167,0.000613862,0.000613862,0.000613862
19,179.475,0.83292,2.75554,1.47248,0.3039,0.41296,0.33081,0.13324,1.85732,2.63096,2.18195,0.000607971,0.000607971,0.000607971
20,186.023,0.65801,2.56085,1.36329,0.47782,0.3616,0.24751,0.06573,2.6498,2.71681,2.68251,0.000602081,0.000602081,0.000602081
21,194.732,0.70115,2.51056,1.3619,0.68027,0.4028,0.41544,0.19162,1.86204,2.33619,2.15122,0.00059619,0.00059619,0.00059619
22,202.803,0.66454,2.45235,1.30306,0.4809,0.35234,0.44917,0.19824,2.1357,2.56633,2.26452,0.0005903,0.0005903,0.0005903
23,210.917,0.70881,2.66716,1.37667,0.35564,0.325,0.29937,0.15762,1.70357,2.59988,2.11051,0.000584409,0.000584409,0.000584409
24,219.479,0.65356,2.36298,1.33468,0.30491,0.41799,0.42187,0.19371,1.63399,2.58603,2.00504,0.000578519,0.000578519,0.000578519
25,227.069,0.64084,2.28228,1.32221,0.3156,0.41664,0.42002,0.19838,2.12413,2.76949,2.01036,0.000572628,0.000572628,0.000572628
26,235.588,0.66689,2.2779,1.32712,0.19765,0.6827,0.421,0.22237,1.68204,3.06504,2.02836,0.000566737,0.000566737,0.000566737
