epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,937.988,0.44039,0.56322,1.02883,0.85226,0.76041,0.8557,0.77668,0.40658,0.6919,0.99187,0.000529212,0.000529212,0.000529212
43,959.697,0.44357,0.58406,1.02882,0.84903,0.82939,0.87581,0.80826,0.42529,0.61096,0.98141,0.000521024,0.000521024,0.000521024
44,981.214,0.43821,0.56984,1.03848,0.86144,0.78473,0.84563,0.76326,0.4882,0.65704,1.00421,0.000512726,0.000512726,0.000512726
45,1003.55,0.42914,0.57952,1.02082,0.89658,0.77983,0.84984,0.78246,0.44389,0.72552,1.01062,0.000504323,0.000504323,0.000504323
46,1024.86,0.42389,0.55668,1.01976,0.80992,0.77363,0.83594,0.76962,0.41786,0.70947,0.98116,0.000495822,0.000495822,0.000495822
47,1047.05,0.42148,0.55182,1.02521,0.79069,0.82444,0.85783,0.77451,0.46927,0.65377,0.9746,0.000487228,0.000487228,0.000487228
48,1069.01,0.41316,0.53902,1.01516,0.80359,0.79871,0.85831,0.79698,0.38806,0.74745,0.92169,0.000478547,0.000478547,0.000478547
49,1090.22,0.41313,0.52697,1.01146,0.88724,0.74126,0.8407,0.78774,0.38644,0.77139,0.93747,0.000469786,0.000469786,0.000469786
50,1112.15,0.40917,0.53003,1.01653,0.89155,0.72456,0.83245,0.7772,0.41269,0.77998,0.96739,0.00046095,0.00046095,0.00046095
51,1134.21,0.41318,0.51848,1.01952,0.85132,0.73294,0.82198,0.76935,0.39593,0.81287,0.94838,0.000452044,0.000452044,0.000452044
52,1155.61,0.40882,0.5196,1.02009,0.8412,0.82684,0.86346,0.8113,0.38872,0.63133,0.9734,0.000443077,0.000443077,0.000443077
53,1177.71,0.4067,0.48985,1.01784,0.85201,0.74753,0.85265,0.8046,0.36341,0.71064,0.92575,0.000434052,0.000434052,0.000434052
54,1198.63,0.39384,0.46932,1.00878,0.87473,0.73232,0.8421,0.79151,0.38777,0.75811,0.96127,0.000424978,0.000424978,0.000424978
55,1220.43,0.39676,0.47632,1.00443,0.84596,0.85103,0.85635,0.7929,0.41036,0.65425,0.95386,0.000415859,0.000415859,0.000415859
56,1242.41,0.39109,0.45651,1.00991,0.86183,0.81517,0.84222,0.77138,0.40841,0.65796,0.95495,0.000406702,0.000406702,0.000406702
57,1263.63,0.39611,0.44993,1.00687,0.84865,0.80254,0.87766,0.82444,0.38426,0.63867,0.94993,0.000397513,0.000397513,0.000397513
58,1285.63,0.39139,0.4593,1.00841,0.84582,0.80439,0.85735,0.78309,0.51977,0.7571,1.03756,0.0003883,0.0003883,0.0003883
59,1307.22,0.39653,0.45634,1.00864,0.81854,0.76951,0.81976,0.76125,0.40162,0.8216,0.9861,0.000379067,0.000379067,0.000379067
60,1328.61,0.37951,0.44098,0.99526,0.79954,0.83938,0.84048,0.79053,0.37226,0.70621,0.94218,0.000369822,0.000369822,0.000369822
61,1350.67,0.37705,0.42832,0.99307,0.8257,0.76076,0.84732,0.7982,0.39633,0.73792,0.96928,0.00036057,0.00036057,0.00036057
62,1371.84,0.38288,0.45386,1.00423,0.79286,0.74451,0.78186,0.74365,0.39345,0.80617,0.94587,0.000351318,0.000351318,0.000351318
63,1393.73,0.37091,0.41162,0.99109,0.71281,0.78783,0.77615,0.72483,0.37516,0.88694,0.94409,0.000342073,0.000342073,0.000342073
64,1415.81,0.3584,0.3961,0.9897,0.84441,0.73282,0.78703,0.73323,0.37265,0.70978,0.95926,0.00033284,0.00033284,0.00033284
65,1437.03,0.36949,0.40212,0.99174,0.86017,0.75114,0.82018,0.77599,0.39127,0.78943,0.93456,0.000323627,0.000323627,0.000323627
66,1459.52,0.37585,0.40376,0.99627,0.88847,0.78585,0.84012,0.79756,0.31738,0.65251,0.90509,0.000314438,0.000314438,0.000314438
67,1481.18,0.35092,0.38333,0.97736,0.84544,0.76151,0.83317,0.78751,0.39524,0.72784,0.94148,0.000305281,0.000305281,0.000305281
68,1502.84,0.35791,0.4078,0.99415,0.7877,0.83969,0.835,0.79583,0.3912,0.66388,0.94269,0.000296162,0.000296162,0.000296162
69,1525.08,0.35152,0.38579,0.97991,0.8555,0.83134,0.86074,0.81345,0.38893,0.61998,0.92425,0.000287088,0.000287088,0.000287088
70,1546.25,0.34781,0.36051,0.98294,0.83772,0.83878,0.86543,0.82241,0.35081,0.62574,0.90187,0.000278063,0.000278063,0.000278063
71,1568.41,0.34159,0.36446,0.97567,0.83346,0.78794,0.85257,0.79366,0.40661,0.73292,0.8984,0.000269096,0.000269096,0.000269096
72,1590.54,0.34386,0.37624,0.97959,0.82783,0.77538,0.82695,0.79289,0.37959,0.70628,0.92864,0.00026019,0.00026019,0.00026019
73,1611.57,0.3323,0.36619,0.97506,0.84957,0.72741,0.83614,0.80295,0.31911,0.69272,0.91689,0.000251354,0.000251354,0.000251354
74,1633.74,0.3365,0.36905,0.97504,0.88623,0.76144,0.85275,0.81465,0.32562,0.62939,0.90049,0.000242593,0.000242593,0.000242593
75,1655.63,0.33749,0.35918,0.97837,0.87056,0.76864,0.84983,0.81152,0.32707,0.64734,0.93234,0.000233912,0.000233912,0.000233912
